instance	class	precision	recall	predicted class size	real class size
family	Aurantimonadaceae	0.96	0.70	9687703	13396227
family	Ruminococcaceae	1.00	0.93	9580911	10323195
family	Geodermatophilaceae	1.00	0.98	8924775	9129044
family	Oceanospirillaceae	0.99	0.98	8464482	8540907
family	Intrasporangiaceae	1.00	0.26	7903138	30879476
family	Clostridiales Family XI. Incertae Sedis	1.00	0.59	7658503	12971081
family	Veillonellaceae	0.96	0.81	7377921	8736178
family	Burkholderiaceae	1.00	0.99	6706097	6798508
family	Mycobacteriaceae	1.00	0.53	6488224	12314286
family	Thermotogaceae	1.00	0.99	6010576	6090970
family	Glycomycetaceae	0.93	1.00	5971738	5546185
family	Thermoanaerobacteraceae	0.97	0.93	4959513	5160684
family	Williamsiaceae	1.00	0.35	4929071	13974782
family	Spirochaetaceae	1.00	0.96	4821739	5025696
family	Flammeovirgaceae	1.00	0.99	4683266	4738056
family	Kineosporiaceae	0.84	0.99	4533057	3851283
family	Lactobacillaceae	1.00	0.69	4492237	6471053
family	Sanguibacteraceae	1.00	1.00	4386495	4392776
family	Eubacteriaceae	1.00	0.85	4369359	5159885
family	Fusobacteriaceae	1.00	0.62	4103073	6660981
family	Thiotrichaceae	1.00	0.98	4081788	4145616
family	Marinilabiliaceae	1.00	0.89	4045342	4548631
family	Moraxellaceae	1.00	0.99	4024753	4045422
family	Pelobacteraceae	0.99	0.99	3941133	3960448
family	Halomonadaceae	1.00	0.99	3917398	3952422
family	Peptostreptococcaceae	1.00	0.61	3783885	6172507
family	Aeromonadaceae	1.00	1.00	3718474	3735544
family	Geobacteraceae	1.00	0.98	3492206	3568133
family	Prevotellaceae	1.00	0.95	3322128	3504004
family	Rhodobiaceae	1.00	0.82	3257656	3962251
family	Fibrobacteraceae	1.00	0.98	3211698	3277440
family	Mycoplasmataceae	0.99	0.99	3096551	3100471
family	Erythrobacteraceae	1.00	0.44	2934723	6668954
family	Halobacteroidaceae	1.00	1.00	2840047	2837595
family	Enterococcaceae	1.00	0.99	2758854	2780066
family	Coriobacteriaceae	1.00	0.92	2659836	2880893
family	Succinivibrionaceae	0.99	0.95	2540412	2664356
family	Staphylococcaceae	1.00	0.98	2455829	2513181
family	Desulfomicrobiaceae	1.00	0.99	2446572	2483130
family	Neisseriaceae	1.00	0.96	2242197	2324531
family	Nitrospiraceae	0.92	0.94	2166634	2114333
family	Syntrophomonadaceae	1.00	0.96	2074983	2166976
family	Campylobacteraceae	1.00	0.98	1790582	1820943
family	Peptoniphilaceae	1.00	0.53	1078253	2020910
family	Chromobacteriaceae	0.98	0.15	685499	4362870
family	Promicromonosporaceae	0.99	0.05	535396	10223796
family	Phyllobacteriaceae	1.00	0.01	425749	36566390
family	Thermomonosporaceae	1.00	0.02	200536	9355715
family	unassigned	nan	nan	246555054	7599128
genus	Rhizobium	0.61	0.67	158511915	144639957
genus	Methylobacterium	0.94	0.88	151118223	162653027
genus	Sphingomonas	0.92	0.83	127995246	142216692
genus	Microbacterium	0.44	0.78	114154481	64343173
genus	Nocardioides	0.68	0.72	86231282	82168912
genus	Pseudomonas	0.92	0.95	83667353	81181815
genus	Ensifer	0.42	0.40	78337148	83438154
genus	Streptomyces	0.63	0.73	58960551	50911200
genus	Clostridium	0.79	0.99	54886527	43862697
genus	Desulfococcus	1.00	0.98	51001653	51975838
genus	Flavobacterium	0.49	0.96	50681170	25633784
genus	Desulfovibrio	1.00	0.98	49493402	50536393
genus	Paenibacillus	1.00	0.85	47146075	55307915
genus	Pelomonas	0.60	0.71	42923593	36491486
genus	Bacillus	0.80	0.80	41099286	41037029
genus	Arthrobacter	1.00	0.93	40394104	43419111
genus	Agromyces	0.54	0.59	39720540	36557675
genus	Nocardia	0.86	0.90	39202711	37438923
genus	Devosia	0.93	0.90	35570896	36626430
genus	Lysobacter	0.99	0.72	35052156	48184513
genus	Caulobacter	0.65	0.79	31933403	26022472
genus	Chitinophaga	0.98	0.98	29267656	29273820
genus	Lentzea	0.60	0.99	28997996	17633990
genus	Azotobacter	0.70	0.81	28838395	24889875
genus	Frigoribacterium	0.65	0.72	25516139	23333422
genus	Dyadobacter	0.88	1.00	25169280	22216106
genus	Gelidibacter	0.74	0.95	23165848	17959803
genus	Massilia	0.99	0.91	23055718	25109927
genus	Halobacterium	1.00	0.96	22293561	23185149
genus	Algoriphagus	1.00	0.98	19654282	19978673
genus	Bosea	0.74	0.83	19393159	17367169
genus	Actinosynnema	0.48	1.00	19337431	9348728
genus	Erwinia	0.86	0.93	19157295	17642522
genus	Prauserella	0.79	0.55	19033675	27591047
genus	Mameliella	1.00	0.77	16253458	21065517
genus	Albidovulum	0.72	0.96	16149233	12119276
genus	Rhodococcus	0.93	1.00	15896674	14776040
