binner	rank	precision	recall	predidcted_size	real_size
stoic_albattani_0	order	1.00	0.00	2855850	662834550
stoic_albattani_0	order	0.93	0.32	2123850	6241350
stoic_albattani_0	order	0.98	0.02	1068750	50509050
stoic_albattani_0	order	0.00	nan	517500	0
stoic_albattani_0	order	0.00	nan	447600	0
stoic_albattani_0	order	0.00	nan	394050	0
stoic_albattani_0	order	0.00	nan	157650	0
stoic_albattani_0	order	0.00	nan	148350	0
stoic_albattani_0	order	0.00	nan	44550	0
stoic_albattani_0	order	0.00	nan	44400	0
stoic_albattani_0	order	0.00	nan	43650	0
stoic_albattani_0	order	0.00	nan	38400	0
stoic_albattani_0	order	0.00	nan	38250	0
stoic_albattani_0	order	0.00	nan	35400	0
stoic_albattani_0	order	0.00	nan	32400	0
stoic_albattani_0	order	0.00	nan	25350	0
stoic_albattani_0	order	0.00	nan	20100	0
stoic_albattani_0	order	0.00	nan	18900	0
stoic_albattani_0	order	0.00	nan	16650	0
stoic_albattani_0	order	0.00	nan	13350	0
stoic_albattani_0	order	0.00	nan	12600	0
stoic_albattani_0	order	0.00	nan	11700	0
stoic_albattani_0	order	0.00	nan	10200	0
stoic_albattani_0	order	0.00	nan	9900	0
stoic_albattani_0	order	0.00	nan	9150	0
stoic_albattani_0	order	0.00	nan	8250	0
stoic_albattani_0	order	0.00	nan	8250	0
stoic_albattani_0	order	0.00	nan	8100	0
stoic_albattani_0	order	0.00	nan	7500	0
stoic_albattani_0	order	0.00	nan	7350	0
stoic_albattani_0	order	0.00	nan	7050	0
stoic_albattani_0	order	0.00	nan	6750	0
stoic_albattani_0	order	0.00	nan	6750	0
stoic_albattani_0	order	0.00	nan	6150	0
stoic_albattani_0	order	0.00	nan	6000	0
stoic_albattani_0	order	0.00	nan	5850	0
stoic_albattani_0	order	0.00	nan	5550	0
stoic_albattani_0	order	0.00	nan	4950	0
stoic_albattani_0	order	0.00	nan	4800	0
stoic_albattani_0	order	0.00	nan	4800	0
stoic_albattani_0	order	0.00	nan	4650	0
stoic_albattani_0	order	0.00	nan	4500	0
stoic_albattani_0	order	0.00	nan	4500	0
stoic_albattani_0	order	0.00	nan	4050	0
stoic_albattani_0	order	0.00	nan	3600	0
stoic_albattani_0	order	0.00	nan	3150	0
stoic_albattani_0	order	0.00	nan	2850	0
stoic_albattani_0	order	0.00	nan	2700	0
stoic_albattani_0	order	0.00	nan	2550	0
stoic_albattani_0	order	0.00	nan	2550	0
stoic_albattani_0	order	0.00	nan	2400	0
stoic_albattani_0	order	0.00	nan	2400	0
stoic_albattani_0	order	0.00	nan	2400	0
stoic_albattani_0	order	0.00	nan	2250	0
