instance	class	precision	recall	predicted class size	real class size
family	Hyphomicrobiaceae	1.00	1.00	36626430	36626430
family	Phyllobacteriaceae	1.00	1.00	36566390	36566390
family	Sphingobacteriaceae	1.00	1.00	31195562	31195562
family	Intrasporangiaceae	1.00	1.00	30879476	30879476
family	Bradyrhizobiaceae	1.00	1.00	29876564	29876564
family	Chitinophagaceae	1.00	1.00	29273820	29273820
family	Peptococcaceae	1.00	1.00	24562063	24562063
family	Cyclobacteriaceae	1.00	1.00	24460231	24460231
family	Halobacteriaceae	1.00	1.00	23185149	23185149
family	Lachnospiraceae	1.00	1.00	22287488	22287488
family	Acetobacteraceae	1.00	1.00	22035374	22035374
family	Alcaligenaceae	1.00	1.00	18103721	18103721
family	Verrucomicrobiaceae	1.00	1.00	16429445	16429445
family	Desulfobulbaceae	1.00	1.00	16042482	16042482
family	Syntrophobacteraceae	1.00	1.00	15571397	15571397
family	Vibrionaceae	1.00	1.00	14976603	14976603
family	Williamsiaceae	1.00	1.00	13974782	13974782
family	Aurantimonadaceae	1.00	1.00	13396227	13396227
family	Clostridiales Family XI. Incertae Sedis	1.00	1.00	12971081	12971081
family	Mycobacteriaceae	1.00	1.00	12314286	12314286
family	Ruminococcaceae	1.00	1.00	10323195	10323195
family	Promicromonosporaceae	1.00	1.00	10223796	10223796
family	Thermomonosporaceae	1.00	1.00	9355715	9355715
family	Rhodocyclaceae	1.00	1.00	9152768	9152768
family	Geodermatophilaceae	1.00	1.00	9129044	9129044
family	Veillonellaceae	1.00	1.00	8736178	8736178
family	Oceanospirillaceae	1.00	1.00	8540907	8540907
family	Porphyromonadaceae	1.00	1.00	8298689	8298689
family	Burkholderiaceae	1.00	1.00	6798508	6798508
family	Erythrobacteraceae	1.00	1.00	6668954	6668954
family	Fusobacteriaceae	1.00	1.00	6660981	6660981
family	Lactobacillaceae	1.00	1.00	6471053	6471053
family	Peptostreptococcaceae	1.00	1.00	6172507	6172507
family	Thermotogaceae	1.00	1.00	6090970	6090970
family	Glycomycetaceae	1.00	1.00	5546185	5546185
family	Thermoanaerobacteraceae	1.00	1.00	5160684	5160684
family	Eubacteriaceae	1.00	1.00	5159885	5159885
family	Spirochaetaceae	1.00	1.00	5025696	5025696
family	Flammeovirgaceae	1.00	1.00	4738056	4738056
family	Marinilabiliaceae	1.00	1.00	4548631	4548631
family	Sanguibacteraceae	1.00	1.00	4392776	4392776
family	Chromobacteriaceae	1.00	1.00	4362870	4362870
family	Thiotrichaceae	1.00	1.00	4145616	4145616
family	Moraxellaceae	1.00	1.00	4045422	4045422
family	Rhodobiaceae	1.00	1.00	3962251	3962251
family	Pelobacteraceae	1.00	1.00	3960448	3960448
family	Halomonadaceae	1.00	1.00	3952422	3952422
family	Kineosporiaceae	1.00	1.00	3851283	3851283
family	Aeromonadaceae	1.00	1.00	3735544	3735544
family	Geobacteraceae	1.00	1.00	3568133	3568133
family	Prevotellaceae	1.00	1.00	3504004	3504004
family	Fibrobacteraceae	1.00	1.00	3277440	3277440
family	Mycoplasmataceae	1.00	1.00	3100471	3100471
family	Coriobacteriaceae	1.00	1.00	2880893	2880893
family	Halobacteroidaceae	1.00	1.00	2837595	2837595
family	Enterococcaceae	1.00	1.00	2780066	2780066
family	Succinivibrionaceae	1.00	1.00	2664356	2664356
family	Staphylococcaceae	1.00	1.00	2513181	2513181
family	Desulfomicrobiaceae	1.00	1.00	2483130	2483130
family	Neisseriaceae	1.00	1.00	2324531	2324531
family	Syntrophomonadaceae	1.00	1.00	2166976	2166976
family	Carnobacteriaceae	1.00	1.00	2120985	2120985
family	Nitrospiraceae	1.00	1.00	2114333	2114333
family	Peptoniphilaceae	1.00	1.00	2020910	2020910
family	Campylobacteraceae	1.00	1.00	1820943	1820943
family	unassigned	nan	nan	7599128	0
genus	Methylobacterium	1.00	1.00	162653027	162653027
genus	Rhizobium	1.00	1.00	144639957	144639957
genus	Sphingomonas	1.00	1.00	142216692	142216692
genus	Ensifer	1.00	1.00	83438154	83438154
genus	Nocardioides	1.00	1.00	82168912	82168912
genus	Pseudomonas	1.00	1.00	81181815	81181815
genus	Microbacterium	1.00	1.00	64343173	64343173
genus	Paenibacillus	1.00	1.00	55307915	55307915
genus	Desulfococcus	1.00	1.00	51975838	51975838
genus	Streptomyces	1.00	1.00	50911200	50911200
genus	Desulfovibrio	1.00	1.00	50536393	50536393
genus	Lysobacter	1.00	1.00	48184513	48184513
genus	Clostridium	1.00	1.00	43862697	43862697
genus	Arthrobacter	1.00	1.00	43419111	43419111
genus	Bacillus	1.00	1.00	41037029	41037029
genus	Nocardia	1.00	1.00	37438923	37438923
genus	Devosia	1.00	1.00	36626430	36626430
genus	Agromyces	1.00	1.00	36557675	36557675
genus	Pelomonas	1.00	1.00	36491486	36491486
genus	Chitinophaga	1.00	1.00	29273820	29273820
genus	Acidovorax	1.00	1.00	27755956	27755956
genus	Prauserella	1.00	1.00	27591047	27591047
genus	Salegentibacter	1.00	1.00	26048522	26048522
genus	Caulobacter	1.00	1.00	26022472	26022472
genus	Flavobacterium	1.00	1.00	25633784	25633784
genus	Massilia	1.00	1.00	25109927	25109927
genus	Azotobacter	1.00	1.00	24889875	24889875
genus	Frigoribacterium	1.00	1.00	23333422	23333422
genus	Halobacterium	1.00	1.00	23185149	23185149
genus	Leifsonia	1.00	1.00	22604141	22604141
genus	Dyadobacter	1.00	1.00	22216106	22216106
genus	Sphingopyxis	1.00	1.00	21432842	21432842
genus	Mameliella	1.00	1.00	21065517	21065517
genus	Mesorhizobium	1.00	1.00	20175861	20175861
genus	Algoriphagus	1.00	1.00	19978673	19978673
genus	Roseomonas	1.00	1.00	18074709	18074709
genus	Gelidibacter	1.00	1.00	17959803	17959803
genus	Erwinia	1.00	1.00	17642522	17642522
genus	Lentzea	1.00	1.00	17633990	17633990
genus	Bosea	1.00	1.00	17367169	17367169
genus	Rathayibacter	1.00	1.00	16237122	16237122
genus	Chryseobacterium	1.00	1.00	16089698	16089698
genus	Actinokineospora	1.00	1.00	15747781	15747781
genus	Kitasatospora	1.00	1.00	15735445	15735445
genus	Desulfacinum	1.00	1.00	15571397	15571397
genus	Brevundimonas	1.00	1.00	15193047	15193047
genus	Rhodococcus	1.00	1.00	14776040	14776040
genus	Terrabacter	1.00	1.00	14712837	14712837
genus	Pedobacter	1.00	1.00	14567128	14567128
genus	Pseudorhodoferax	1.00	1.00	14205601	14205601
genus	Williamsia	1.00	1.00	13974782	13974782
genus	Desulfotomaculum	1.00	1.00	13411937	13411937
genus	Phenylobacterium	1.00	1.00	13144738	13144738
genus	Phycicoccus	1.00	1.00	12561698	12561698
genus	Mycobacterium	1.00	1.00	12314286	12314286
genus	Albidovulum	1.00	1.00	12119276	12119276
genus	Prosthecobacter	1.00	1.00	12109280	12109280
genus	Lachnoclostridium	1.00	1.00	12031595	12031595
genus	Aeromicrobium	1.00	1.00	11514918	11514918
genus	Arenibacter	1.00	1.00	10466050	10466050
genus	Pseudoxanthomonas	1.00	1.00	10407041	10407041
genus	Xanthomonas	1.00	1.00	10383935	10383935
genus	Promicromonospora	1.00	1.00	10223796	10223796
genus	Vibrio	1.00	1.00	9949087	9949087
genus	Actinomadura	1.00	1.00	9355715	9355715
genus	Actinosynnema	1.00	1.00	9348728	9348728
genus	Maribacter	1.00	1.00	9322952	9322952
genus	Mesonia	1.00	1.00	9194581	9194581
genus	Hymenobacter	1.00	1.00	9150525	9150525
genus	Modestobacter	1.00	1.00	9129044	9129044
genus	Brenneria	1.00	1.00	8913891	8913891
genus	Goodfellowiella	1.00	1.00	8767230	8767230
genus	Aureimonas	1.00	1.00	8600960	8600960
