"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"strain"	"1035939"	1	0.99869376143	1597924	1600014	"admiring_curie_2"
"strain"	"evo_1286_G.034"	1	0.493476917281	1603269	3248924	"admiring_curie_2"
"strain"	"1220_AO"	0.992545171183	0.448879144638	3346824	7400375	"admiring_curie_2"
"strain"	"1285_BF"	1	0.999592948896	4164857	4166553	"admiring_curie_2"
"strain"	"1035906"	1	0.994038506183	2534830	2550032	"admiring_curie_2"
"strain"	"1030881"	1	0.995340490937	3286465	3301850	"admiring_curie_2"
"strain"	"1053004"	0.457880696168	0.681648619035	3908944	2625737	"admiring_curie_2"
"strain"	"1036566"	1	0.975795609783	2877188	2948556	"admiring_curie_2"
"strain"	"1030806"	1	0.970057249759	3961578	4083860	"admiring_curie_2"
"strain"	"1030800"	0	0	0	424499	"admiring_curie_2"
"strain"	"evo_1030728.038"	0.229704232447	0.516184663125	5520991	2456863	"admiring_curie_2"
"strain"	"1285_BO"	0.485327402379	0.997049552785	7336874	3571323	"admiring_curie_2"
"strain"	"1285_AK"	0.272633194181	0.772639181879	13184341	4652222	"admiring_curie_2"
"strain"	"evo_1030728.035"	0.172338263185	0.387334381718	5520991	2456477	"admiring_curie_2"
"strain"	"1220_AR"	0.510295193274	0.980408328676	8628347	4490990	"admiring_curie_2"
"strain"	"Sample15_91"	0	0	0	6798	"admiring_curie_2"
"strain"	"evo_1139_Y.018"	0.987942744733	0.925096726514	6828088	7291951	"admiring_curie_2"
"strain"	"1048885"	0.999641172346	0.675790623903	8296462	12272270	"admiring_curie_2"
"strain"	"1036011"	0	0	0	738955	"admiring_curie_2"
"strain"	"Sample24_88"	0	0	0	15839	"admiring_curie_2"
"strain"	"1030716"	0.00910210569531	0.0181498772319	3704857	1857974	"admiring_curie_2"
"strain"	"1286_AO"	0.299600254933	0.301499190861	3932006	3907241	"admiring_curie_2"
"strain"	"1052965"	0.654337010367	0.514684725602	1860014	2364702	"admiring_curie_2"
"strain"	"Sample15_13"	0	0	0	35178	"admiring_curie_2"
"strain"	"Sample20_16"	0	0	0	28254	"admiring_curie_2"
"strain"	"1052968"	0.489616061152	0.906478372174	7154655	3864443	"admiring_curie_2"
"strain"	"Sample23_4"	0	0	0	36461	"admiring_curie_2"
"strain"	"Sample20_11"	0	0	0	35005	"admiring_curie_2"
"strain"	"1030776"	0	0	0	2645012	"admiring_curie_2"
"strain"	"Sample22_210"	0	0	0	19704	"admiring_curie_2"
"strain"	"evo_1139_Y.035"	0.415679059416	0.841522555592	14480537	7152816	"admiring_curie_2"
"strain"	"1287_BN"	1	0.998620284552	4746596	4753154	"admiring_curie_2"
"strain"	"1287_BO"	1	0.94268747538	5109220	5419845	"admiring_curie_2"
"strain"	"1030896"	1	0.96899413809	2893307	2985887	"admiring_curie_2"
"strain"	"Sample22_66"	0	0	0	35680	"admiring_curie_2"
"strain"	"1287_BC"	0.291182363838	0.29854737545	9439514	9206646	"admiring_curie_2"
"strain"	"1287_BD"	0.48230025983	0.969088720512	8628347	4294193	"admiring_curie_2"
"strain"	"Sample22_61"	0	0	0	36436	"admiring_curie_2"
"strain"	"1048966"	0.510383938848	0.995962279332	7154655	3666425	"admiring_curie_2"
"strain"	"1030812"	1	0.201212814695	745945	3707244	"admiring_curie_2"
"strain"	"1036557"	0.427046172092	0.457380231999	3704857	3459146	"admiring_curie_2"
"strain"	"1035993"	0.55081085804	0.992566894364	5024369	2788202	"admiring_curie_2"
"strain"	"Sample18_112"	0	0	0	14277	"admiring_curie_2"
